name,sum,chgk_sum,chgk_1.0,chgk_2.0,chgk_3.0,brain_sum,brain_1,brain_2,brain_3,ek_sum,ek_1,ek_2,ek_3,si_sum,si_1,si_2,si_3
Алхазов Григорий Эдуардович,13,5,1,2,2,4,3,0,1,4,2,1,1,0,0,0,0
Малкин Михаил Леонидович,13,4,2,1,1,3,0,1,2,3,0,1,2,3,0,2,1
Новосёлов Михаил Андреевич,12,4,3,1,0,2,0,2,0,3,2,1,0,3,2,1,0
Порицкий Владислав Валерьевич,12,3,1,0,2,2,2,0,0,3,1,0,2,4,3,0,1
Галиакберов Денис Андреевич,11,4,1,3,0,2,1,1,0,2,0,1,1,3,1,2,0
Миронов Денис Эдуардович,11,4,0,2,2,3,1,1,1,4,1,1,2,0,0,0,0
Горбунов Сергей Валерьевич,9,3,0,2,1,3,2,0,1,3,2,1,0,0,0,0,0
Чернуха Ирина Викторовна,8,4,0,3,1,2,1,1,0,2,2,0,0,0,0,0,0
Печеный Александр Павлович,7,4,2,2,0,2,0,1,1,1,1,0,0,0,0,0,0
Топчий Иван Александрович,7,3,1,0,2,2,2,0,0,2,1,0,1,0,0,0,0
Голуб Эдуард Викторович,7,3,0,1,2,2,2,0,0,2,2,0,0,0,0,0,0
Тарасов Андрей Даниилович,7,2,1,0,1,1,0,1,0,2,1,1,0,2,2,0,0
Кафиатуллин Тимур Рустемович,7,1,1,0,0,2,0,1,1,2,2,0,0,2,0,1,1
Карчевский Александр Сергеевич,6,4,1,3,0,1,1,0,0,1,0,0,1,0,0,0,0
Панайотти Дмитрий Алексеевич,6,3,3,0,0,2,1,0,1,1,0,0,1,0,0,0,0
Штых Алексей Константинович,6,3,2,1,0,2,0,1,1,1,1,0,0,0,0,0,0
Кленницкая Мария Владимировна,6,3,2,0,1,2,2,0,0,1,0,0,1,0,0,0,0
Тух Вадим Евгеньевич,6,3,2,0,1,0,0,0,0,2,0,2,0,1,1,0,0
Сибаев Ринат Ильдарович,6,3,1,2,0,1,0,1,0,2,1,1,0,0,0,0,0
Имангулов Амаль Бахтиёрович,6,3,1,2,0,1,0,1,0,2,1,1,0,0,0,0,0
Николаев Глеб Владиславович,6,3,1,2,0,1,0,1,0,2,0,1,1,0,0,0,0
Прокопенко Тимофей Александрович,6,3,1,0,2,0,0,0,0,3,0,1,2,0,0,0,0
Литвинов Дмитрий Сергеевич,6,3,0,1,2,2,1,0,1,1,1,0,0,0,0,0,0
Шляхов Евгений Алексеевич,6,3,0,1,2,2,1,0,1,1,1,0,0,0,0,0,0
Тимофеева Анастасия Витальевна,6,2,1,1,0,3,2,0,1,1,0,1,0,0,0,0,0
Николенко Сергей Игоревич,6,2,1,1,0,3,1,2,0,1,0,1,0,0,0,0,0
Харитонов Владислав Александрович,6,2,1,1,0,1,0,1,0,2,1,1,0,1,0,1,0
Кунашко Виталий Валерьевич,6,2,1,0,1,2,0,1,1,2,1,1,0,0,0,0,0
Даровских Сергей Александрович,6,2,0,2,0,2,1,1,0,2,1,1,0,0,0,0,0
Чернышёв Кирилл Александрович,6,2,0,2,0,2,1,0,1,2,2,0,0,0,0,0,0
Косолапова Александра Владимировна,6,2,0,1,1,2,1,0,1,2,1,1,0,0,0,0,0
Шевела Никита Игоревич,6,1,0,1,0,1,0,0,1,3,1,0,2,1,0,0,1
Адаскевич Станислав Владимирович,6,1,0,0,1,2,1,0,1,1,0,0,1,2,1,1,0
Ламеко Арсений Дмитриевич,6,1,0,0,1,2,0,0,2,3,1,2,0,0,0,0,0
Пинчук Антон Алексеевич,5,3,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0
Белозёров Борис Сергеевич,5,3,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0
Шередега Алексей Владимирович,5,3,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0
Комиссаров Климентий Сергеевич,5,3,0,1,2,0,0,0,0,2,1,0,1,0,0,0,0
Морозов Александр Владимирович,5,3,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0
Клюева Ольга Владимировна,5,3,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0
Карташов Кирилл Михайлович,5,2,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0
Поверинов Никита Олегович,5,2,1,1,0,1,0,1,0,2,1,1,0,0,0,0,0
Матюхин Александр Евгеньевич,5,2,1,0,1,2,1,1,0,1,0,0,1,0,0,0,0
Гончаров Алексей Александрович,5,2,1,0,1,2,1,0,1,1,1,0,0,0,0,0,0
Ефимов Сергей Геннадиевич,5,2,1,0,1,1,1,0,0,2,1,0,1,0,0,0,0
Закс Юлия Иосифовна,5,2,0,1,1,1,0,1,0,2,0,1,1,0,0,0,0
Кебец Павел Леонидович,5,1,1,0,0,1,0,1,0,3,1,0,2,0,0,0,0
Иванова Елизавета Андреевна,5,1,0,1,0,1,1,0,0,3,2,1,0,0,0,0,0
Дзекановский Виктор Халедович,5,1,0,0,1,2,1,0,1,2,1,1,0,0,0,0,0
Мужикбаев Леонид Андреевич,5,1,0,0,1,2,1,0,1,2,1,1,0,0,0,0,0
Назаров Пётр Юрьевич,5,1,0,0,1,2,1,0,1,2,1,1,0,0,0,0,0
Марков Александр Валерьевич,4,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
Федкевич Даниил Кириллович,4,3,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0
Короткова Елизавета Алексеевна,4,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0
Чадромцев Богдан Денисович,4,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0
Папков Михаил Константинович,4,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0
Гордынец Елена Александровна,4,2,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0
Разумов Юрий Владимирович,4,2,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0
Вахранёва Елизавета Сергеевна,4,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0
Старикович Дмитрий Сергеевич,4,2,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0
Лысенко Елизавета Николаевна,4,2,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0
Рекшинская Анастасия Ярославна,4,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0
Забавин Андрей Николаевич,4,2,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0
Дубинская Ольга Игоревна,4,2,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0
Салий Владимир Владимирович,4,2,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0
Сапрыкин Никита Сергеевич,4,2,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0
Миротин Евгений Адольфович,4,1,1,0,0,2,1,1,0,1,0,0,1,0,0,0,0
Железнов Кирилл Олегович,4,1,1,0,0,1,0,1,0,2,1,0,1,0,0,0,0
Новокщёнов Кирилл Алексеевич,4,1,1,0,0,1,0,1,0,2,1,0,1,0,0,0,0
Мосягин Александр Владимирович,4,1,1,0,0,1,0,1,0,2,0,2,0,0,0,0,0
Айзятулова Иделия Мукадясовна,4,1,1,0,0,1,0,0,1,0,0,0,0,2,1,1,0
Свешникова Екатерина Владиславовна,4,1,0,1,0,1,1,0,0,2,2,0,0,0,0,0,0
Философов Игорь Юрьевич,4,1,0,1,0,1,1,0,0,2,2,0,0,0,0,0,0
Бочкарёв Антон Алексеевич,4,1,0,1,0,0,0,0,0,2,1,1,0,1,0,0,1
Синкевич Кирилл Владимирович,4,1,0,0,1,1,1,0,0,2,0,0,2,0,0,0,0
Марченко Даниил Алексеевич,4,1,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0
Сорожкин Артём Сергеевич,4,1,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0
Мурадов Мурад Бахтияр оглы,4,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,2
Белов Вячеслав Евгеньевич,3,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Филиппов Юрий Станиславович,3,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Иоков Антон Сергеевич,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Папаянов Григорий Сергеевич,3,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Бранский Леонид Яковлевич,3,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
Казакевич Виктория Григорьевна,3,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
Лобанов Александр Михайлович,3,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
Мусихин Никита Владимирович,3,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
Райко Михаил Петрович,3,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
